# cp [..cp] ; SVOsimple ; MVOsimple
2B12..2B2F ; U ; U
2B30..2B44 ; U ; R
2B45..2B46 ; U ; R # #arrows
2B47..2B4C ; U ; R
2B4D..2BFF ; U ; U
2C00..2E01 ; U ; R
2E02..2E05 ; U ; R # :?: New Testament Editorial Symbols...
2E06..2E08 ; U ; R
2E09..2E0A ; U ; R # :?: New Testament Editorial Symbols...
2E0B ; U ; R
2E0C..2E0D ; U ; R # :?: New Testament Editorial Symbols...
2E0E..2E16 ; U ; R
2E17 ; R ; R # Hyphens are upright :?: UTR#50 has hyphens sideways
2E18 ; U ; R # :?: Mismatch with interrobang?
2E19 ; U ; R
2E1A ; R ; R # Hyphens are upright :?: UTR#50 has hyphens sideways
2E1B ; U ; R
2E1C..2E1D ; U ; R # :?: N'Ko punctuation
2E1E..2E1F ; U ; R
2E20..2E29 ; R ; R # Brackets are sideways to enclose their text
2E2A..2E35 ; U ; R
2E36..2E38 ; U ; R # Match DAGGER
2E39 ; U ; R # Match SECTION SIGN
2E3A..2E3B ; R ; R # Dashes are sideways
2E3C..2E7F ; U ; R
2E80..2FFF ; U ; U
3000 ; R ; U # Make upright so that vertical metrics can be used to match non-square ideographic characters.
3001 ; U ; U # Ideographic variants upright; comma needs shifting
3002 ; U ; U # Ideographic variants upright; full stop needs shifting
3003..3007 ; U ; U
3008..3011 ; U ; U # Brackets are sideways to enclose their text
3012..3013 ; U ; U
3014..301B ; U ; U # Brackets are sideways to enclose their text
301C ; U ; U # Wave dash must transform
301D..301F ; U ; U # Quotation marks are upright in stacked mode
3020..302F ; U ; U
3030 ; U ; U # Wave dash must transform
3031..309A ; U ; U
309B..309C ; U ; U # Kana is upright
309D..309E ; U ; U
309F ; U ; U # Vertical presentation forms always upright
30A0 ; U ; U # Hyphens are upright :?: sideways in JIS
30A1..30FE ; U ; U
30FF ; U ; U # Vertical presentation forms always upright
3100..A4CF ; U ; U
A4D0..A83F ; U ; R
A840..A873 ; R ; R
A874..A877 ; R ; R # Match Phags-pa letters
A878..A87F ; R ; R
A880..A95F ; U ; R
A960..A97F ; U ; U
A980..ABFF ; U ; R
AC00..D7FF ; U ; U
D800..DFFF ; U ; R
E000..FAFF ; U ; U
FB00..FB28 ; U ; R
FB29 ; U ; R # :?: Hebrew
FB2A..FD3D ; U ; R
